case_id,benchmark_id,input_scope,official_description,case_description,gt_files,gt_modules,gt_signals_or_registers,gt_evidence_notes,case_doc_path
H21-003,hackatdac21,h21_jtag_auth_expansion_scope,JTAG is padded to be 256 bits,A 32-bit DMI data word is zero-padded into a 512-bit HMAC message for password validation against a 256-bit expected hash.,piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-003.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-003.md
H21-004,hackatdac21,h21_jtag_auth_expansion_scope,JTAG not temporarily disabled after several continuous wrong password attempts,The JTAG authentication FSM compares hashes but has no retry counter or temporary lockout state.,piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-004.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-004.md
H21-005,hackatdac21,h21_access_lock_scope,Processor access to HMAC grants it access to PKT regardless of PKT access configuration,访问 HMAC 时错误获得 PKT 访问能力,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,"acc_ctrl_c[i][j], j==5, acc_ctrl[4*4+i]; i_hmac_wrapper, acc_ctrl_c[priv_lvl_i][4]; i_pkt_wrapper, acc_ctrl_c[priv_lvl_i][5]",- Identifies that HMAC authorization can grant PKT access. - Cites the `j==5 && acc_ctrl[4*4+i]` coupling. - Explains the HMAC index 4 / PKT index 5 relationship.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-005.md; evidence_gt_ref=H21-005.,datasets/benchmarks/hackatdac21/cases/H21-005.md
H21-007,hackatdac21,h21_jtag_auth_expansion_scope,Incorrect access control setting leaving debug enabled,Debug/JTAG access is controlled through JTAG authentication state and SoC integration rather than a separate access-control wrapper.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,riscv_peripherals; dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-007.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-007.md
H21-009,hackatdac21,h21_access_reglock_reset_expansion_scope,PLIC registers are not protected by access control,PLIC NOC/AXI-lite path drives PLIC register requests without the same acc_ctrl_c gating used by protected wrappers.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-009.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-009.md
H21-012,hackatdac21,h21_access_reglock_reset_expansion_scope,UART registers are not protected by access control,UART peripheral access is integrated as an AXI/APB path rather than an acct_ctrl_i-mediated wrapper in the visible subsystem.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-012.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-012.md
H21-013,hackatdac21,h21_crypto_security_scope,AES internal registers are visible externally,AES 内部状态通过外部接口暴露,piton/design/chip/tile/ariane/src/aes2/aes2_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,aes2_wrapper; riscv_peripherals,"p_c, state, key0, key1, key2, debug_mode_i; p_c, state, key0, key1, key2, reglk_ctrl_i; rdata, key0[address[8:3]], p_c, ct; i_aes2_wrapper, acct_ctrl_i, reglk_ctrl_i",- Reports that AES internal/key/plaintext state is externally readable through the peripheral register interface. - Cites `aes2_wrapper.sv` read logic around lines 153-181 or equivalent. - Connects the wrapper to the SoC integration path.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-013.md; evidence_gt_ref=H21-013.,datasets/benchmarks/hackatdac21/cases/H21-013.md
H21-030,hackatdac21,h21_jtag_auth_expansion_scope,JTAG key is hardcoded,The HMAC key used in JTAG password checking is a literal constant in RTL.,piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-030.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-030.md
H21-031,hackatdac21,h21_dma_pkt_scope,DMA registers are not locked,DMA 控制寄存器缺少 lock mediation,piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,dma_wrapper; riscv_peripherals,"reglk_ctrl_i, acct_ctrl_i; start_reg, length_reg, source_addr_lsb_reg, source_addr_msb_reg, dest_addr_lsb_reg, dest_addr_msb_reg, core_lock_reg; length_i, source_addr_lsb_i, dest_addr_lsb_i, pmpcfg_i, pmpaddr_i; i_dma_wrapper, reglk_ctrl, acc_ctrl_c",- Identifies DMA programming registers as missing register-lock mediation. - Cites direct assignments in `dma_wrapper.sv` around lines 129-146. - Explains why source/destination/length registers are security-sensitive.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-031.md; evidence_gt_ref=H21-031.,datasets/benchmarks/hackatdac21/cases/H21-031.md
H21-032,hackatdac21,h21_access_reglock_reset_expansion_scope,PLIC registers are not locked,"PLIC access path does not receive or enforce reglk_ctrl_i, unlike protected wrappers that take register-lock inputs.",piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,riscv_peripherals; reglk_wrapper,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-032.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-032.md
H21-033,hackatdac21,h21_access_reglock_reset_expansion_scope,ROM registers are not locked,BootROM request path is gated by access-control but has no visible reglk_ctrl_i lock mediation on the ROM path.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,riscv_peripherals; reglk_wrapper,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-033.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-033.md
H21-034,hackatdac21,h21_access_reglock_reset_expansion_scope,UART registers are not locked,UART path lacks visible register-lock mediation while reglk_ctrl is used for other wrappers.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,riscv_peripherals; reglk_wrapper,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-034.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-034.md
H21-035,hackatdac21,h21_access_lock_scope,Reg locks are disabled by default when reset,reset 默认状态关闭 register lock,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,reglk_wrapper; riscv_peripherals,"reglk_mem, reglk_ctrl_o, reglk_ctrl; reglk_mem[j] <= 'h0; reglk_ctrl, acc_ctrl, acc_ctrl_c; i_reglk_wrapper, reglk_ctrl_o",- Reports that register locks reset to disabled/unlocked state. - Cites `reglk_mem[j] <= 'h0` or equivalent. - Explains that `reglk_ctrl_o` drives peripheral lock decisions.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-035.md; evidence_gt_ref=H21-035.,datasets/benchmarks/hackatdac21/cases/H21-035.md
H21-036,hackatdac21,h21_crypto_security_scope,SHA input data not cleared after HASH computation,HASH 后输入数据残留,piton/design/chip/tile/ariane/src/sha256/sha256_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,sha256_wrapper; riscv_peripherals,"en, acct_ctrl_i, startHash_r, newMessage_r; data[0], data[15], reglk_ctrl_i; rdata, data[0], data[15]; i_sha256_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports residual SHA input data after hash computation. - Cites both the write map and read map for `data[0]` through `data[15]`. - Explains this as sensitive state residue rather than a hash algorithm flaw.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-036.md; evidence_gt_ref=H21-036.,datasets/benchmarks/hackatdac21/cases/H21-036.md
H21-039,hackatdac21,h21_crypto_security_scope,AES plain text is left uncleared after the encryption is over in the peripheral registers,AES plaintext 在 peripheral register 中残留,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,aes0_wrapper; riscv_peripherals,"p_c, state; p_c[0], p_c[1], p_c[2], p_c[3]; rdata, p_c[0], p_c[1], p_c[2], p_c[3]; i_aes0_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports AES plaintext residue in memory-mapped peripheral registers. - Cites both plaintext write and read paths for `p_c`. - States that normal encryption completion does not clear or hide the plaintext registers.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-039.md; evidence_gt_ref=H21-039.,datasets/benchmarks/hackatdac21/cases/H21-039.md
H21-042,hackatdac21,h21_access_lock_scope,"At reset, the access control values are set to full access",reset 默认 access-control 值开放所有访问,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"acct_mem, acc_ctrl_o, we_flag; acct_mem[j] <= 32'hffffffff; acc_ctrl, acc_ctrl_c, priv_lvl_i; i_acct_wrapper, acc_ctrl_o",- Reports reset initializes access-control entries to all ones/full access. - Cites `acct_mem[j] <= 32'hffffffff`. - Explains that `acc_ctrl_o`/`acc_ctrl_c` affects SoC peripheral access mediation.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-042.md; evidence_gt_ref=H21-042.,datasets/benchmarks/hackatdac21/cases/H21-042.md
H21-043,hackatdac21,h21_access_lock_scope,Reg locks are not set for some of the ACCT registers,部分 access-control 寄存器未被 lock 保护,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"acct_mem, reglk_ctrl, reglk_ctrl_i; acct_mem[03], reglk_ctrl[13], acct_mem[06], reglk_ctrl[1]; i_acct_wrapper, reglk_ctrl_i, acc_ctrl_o",- Reports that some ACCT registers are not effectively protected by register locks. - Cites the ACCT write map and invalid/inconsistent `reglk_ctrl` indices. - Connects ACCT registers to global access-control configuration.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-043.md; evidence_gt_ref=H21-043.,datasets/benchmarks/hackatdac21/cases/H21-043.md
H21-045,hackatdac21,h21_dma_pmp_expansion_scope,DMA transfer does not check for the max length condition in syscall,"DMA syscall wrappers pass length-1 directly to the DMA path, and the RTL uses the programmed length for PMP/transfer control without enforcing the documented max-length condition.",software/ariane_api.c; software/using_api1.c; piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/src/dma/dma.sv,ariane_api; using_api1; dma_wrapper; dma,"length, a2, SYS_DMA_COPY*; Max length supported is 32*64 bits; Max length == 255; length_reg <= wdata; length_d <= length_i; pmp_check_ctr_new = length_d","Agent should connect the software syscall/API length parameter to the DMA length register and then to RTL PMP/transfer control, and identify the missing max-length mediation.; Expanded dataset addition; evidence refined during 2026-06-22 review.; Expanded dataset addition. Evidence refined on 2026-06-22 to include syscall/API source path.",datasets/benchmarks/hackatdac21/cases/H21-045.md
H21-046,hackatdac21,h21_fuse_rng_rsa_expansion_scope,Not disconnecting sensitive data from fuse when in debug mode,PKT/fuse path does not take debug_mode_i while sensitive fuse data is exposed through fuse_rdata_i and pkey_loc read paths.,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,pkt_wrapper; riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-046.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-046.md
H21-047,hackatdac21,h21_crypto_security_scope,Not clearing one of the AES keys when entering debug mode,进入 debug mode 时 AES key 未清除,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv,aes0_wrapper,"debug_mode_i, key_big0, key_big1, key_big2; key2, reglk_ctrl_i[5]; key_big, key_big2, key_sel","- Reports AES0 key2 is not cleared/masked in debug mode. - Cites the inconsistent debug masking between `key_big0`, `key_big1`, and `key_big2`. - Explains impact on AES key exposure/residue under debug.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-047.md; evidence_gt_ref=H21-047.",datasets/benchmarks/hackatdac21/cases/H21-047.md
H21-048,hackatdac21,h21_access_lock_scope,JTAG unlock disables the reglocks,JTAG unlock 破坏 register lock 安全状态,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,riscv_peripherals; reglk_wrapper,"jtag_unlock, jtag_unlock_o; jtag_unlock, reglk_mem[j] <= 'h0; i_reglk_wrapper, jtag_unlock, reglk_ctrl_o",- Reports that JTAG unlock disables/clears register locks. - Cites `jtag_unlock` in the `reglk_wrapper` reset condition. - Explains impact on global register-lock state.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-048.md; evidence_gt_ref=H21-048.,datasets/benchmarks/hackatdac21/cases/H21-048.md
H21-049,hackatdac21,h21_access_lock_scope,Chicken bits corrupting access control value,测试/配置 bit 可破坏 access-control 值,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,riscv_peripherals; acct_wrapper,"we_flag_0, we_flag_1, we_flag_2, we_flag_3, we_flag_4; acc_ctrl_o, acct_mem[3*0+0]|{8{we_flag}}; i_acct_wrapper, we_flag_0, acc_ctrl_o",- Reports that `we_flag`/chicken-bit style control corrupts access-control output. - Cites the OR expression in `acc_ctrl_o`. - Explains that effective policy can differ from stored `acct_mem`.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-049.md; evidence_gt_ref=H21-049.,datasets/benchmarks/hackatdac21/cases/H21-049.md
H21-052,hackatdac21,h21_dma_pmp_expansion_scope,Chicken bits corrupting pmp check in DMA,"The DMA PMP decision includes we_flag in the allow expression, allowing a non-PMP condition to affect the permission check.",piton/design/chip/tile/ariane/src/dma/dma.sv; piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,dma; dma_wrapper; riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-052.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-052.md
H21-053,hackatdac21,h21_jtag_auth_expansion_scope,Chicken bits corrupting JTAG expected password,SoC-level we_flag_4 reaches dmi_jtag and participates in JTAG read/auth mediation together with the expected-hash authentication path.,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,riscv_peripherals; dmi_jtag,"we_flag_4; we_flag_4, jtag_hash; we_flag, jtag_hash_i; pass_check, we_flag, DTM_READ; exp_hash = jtag_hash_i; exp_hash, pass_hash, pass_check",Agent should identify that a chicken-bit-like we_flag from SoC integration affects JTAG authentication/read mediation and connect it to the expected-hash authentication path.; Expanded dataset addition; evidence refined during 2026-06-22 review.; Expanded dataset addition. Evidence refined on 2026-06-22 to focus on source-supported we_flag/JTAG auth mediation.,datasets/benchmarks/hackatdac21/cases/H21-053.md
H21-054,hackatdac21,h21_dma_pmp_expansion_scope,DMA can do load even if store PMP check fails and vice versa,"Load-side and store-side PMP checks are separate state-machine phases, but the controller can progress between phases based on partial allow state.",piton/design/chip/tile/ariane/src/dma/dma.sv,dma,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-054.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-054.md
H21-055,hackatdac21,h21_dma_pmp_expansion_scope,DMA write only checks for end addr PMP access instead of entire range,The DMA PMP loop and counter update can allow range decisions to depend on terminal or partial address checks rather than full-span mediation.,piton/design/chip/tile/ariane/src/dma/dma.sv,dma,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-055.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-055.md
H21-056,hackatdac21,h21_dma_pmp_expansion_scope,Change in PMP config does not abort existing DMA transfer,"The DMA core captures transfer parameters but uses live pmpcfg_i/pmpaddr_i in the PMP instance, so PMP state changes during a transfer require explicit abort handling.",piton/design/chip/tile/ariane/src/dma/dma.sv,dma,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-056.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-056.md
H21-059,hackatdac21,h21_dma_pkt_scope,PKT leaks fuse data because default case does not cover all possible values,不完整 default handling 导致 fuse data 泄露,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,pkt_wrapper; riscv_peripherals,"fuse_req_o, fuse_addr_o, fuse_rdata_i; fuse_req_o, fuse_addr_o; rdata, fuse_rdata_i, address[7:3], fuse_addr_o; i_pkt_wrapper, fuse_rdata, acct_ctrl_i",- Reports PKT fuse data exposure through faulty default/read handling. - Cites the `rdata = fuse_rdata_i` pre-assignment and conditional default handling. - Explains why this can leak fuse data for unmapped or insufficiently covered address cases.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-059.md; evidence_gt_ref=H21-059.,datasets/benchmarks/hackatdac21/cases/H21-059.md
H21-060,hackatdac21,h21_crypto_security_scope,AES leaks secret key0 because default case does not cover all possible values,不完整 default handling 导致 AES key 泄露,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,aes0_wrapper; riscv_peripherals,"key0[0], key0[5], reglk_ctrl_i[5]; rdata, key0[address[8:3]], default, ct_valid; i_aes0_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports AES0 key0 leakage through default/incomplete read handling. - Cites `rdata = key0[address[8:3]]`. - Distinguishes this from generic AES state exposure.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-060.md; evidence_gt_ref=H21-060.,datasets/benchmarks/hackatdac21/cases/H21-060.md
H21-064,hackatdac21,h21_dma_pmp_expansion_scope,"DMA syscall length is used directly, but it is 64-bit words",The DMA wrapper stores the software-visible length word directly and passes it into DMA length_i without unit conversion at the wrapper boundary.,piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/src/dma/dma.sv,dma_wrapper; dma,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-064.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-064.md
H21-069,hackatdac21,h21_fuse_rng_rsa_expansion_scope,LFSR polynomial set by software is not checked,RNG polynomial registers are writable from the AXI-lite interface and passed directly into rng_top without primitive-polynomial validity checks in the wrapper.,piton/design/chip/tile/ariane/src/rand_num/rng_wrapper.sv,rng_wrapper,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-069.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-069.md
H21-072,hackatdac21,h21_access_reglock_reset_expansion_scope,Reset controller can reset register locks and make private data readable,"Reset controller can assert rst_9 for REGLK, while reglk_wrapper clears register-lock memory on rst_9.",piton/design/chip/tile/ariane/src/rst_ctrl/rst_wrapper.sv; piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,rst_wrapper; reglk_wrapper,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-072.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-072.md
H21-073,hackatdac21,h21_crypto_security_scope,AES2 registers are accessible from user mode,用户态可访问 AES2 protected registers,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/src/aes2/aes2_wrapper.sv,riscv_peripherals; acct_wrapper; aes2_wrapper,"acc_ctrl_c, priv_lvl_i; acct_mem[j] <= 32'hffffffff; i_aes2_wrapper, acct_ctrl_i, acc_ctrl_c[priv_lvl_i][11]; rdata, p_c, ct, key0[address[8:3]]",- Reports user-mode accessibility of AES2 protected registers. - Connects AES2 access gate to `acc_ctrl_c[priv_lvl_i][11]`. - Explains why reset-open access control enables the privilege issue.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-073.md; evidence_gt_ref=H21-073.,datasets/benchmarks/hackatdac21/cases/H21-073.md
H21-074,hackatdac21,h21_crypto_security_scope,HMAC registers are accessible from user mode,用户态可访问 HMAC protected registers,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv; piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,riscv_peripherals; acct_wrapper; hmac_wrapper,"acc_ctrl, acc_ctrl_c, priv_lvl_i; acct_mem[j] <= 32'hffffffff; i_hmac_wrapper, acct_ctrl_i, acc_ctrl_c[priv_lvl_i][4]; key0, ikey_hash_bytes, okey_hash_bytes, reglk_ctrl_i; data, hash, ikey_hash_bytes, okey_hash_bytes",- Reports that HMAC protected registers are accessible from user privilege due to access-control state. - Cites both the privilege-indexed access gate and HMAC register map. - Connects the issue to access-control default/full-access behavior rather than only HMAC internals.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-074.md; evidence_gt_ref=H21-074.,datasets/benchmarks/hackatdac21/cases/H21-074.md
H21-075,hackatdac21,h21_crypto_security_scope,HMAC key registers are not locked by register locks,HMAC key registers 缺少 lock mediation,piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,hmac_wrapper; riscv_peripherals,"key0, ikey_hash_bytes, okey_hash_bytes, reglk_ctrl_i[5]; ikey_hash_bytes, okey_hash_bytes, reglk_ctrl_i[4]; i_hmac_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports inconsistent register-lock protection for HMAC key/key-derived registers. - Cites write guard `reglk_ctrl_i[5]` and read guard `reglk_ctrl_i[4]`. - Explains why this weakens key register protection.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-075.md; evidence_gt_ref=H21-075.,datasets/benchmarks/hackatdac21/cases/H21-075.md
H21-076,hackatdac21,h21_access_reglock_reset_expansion_scope,Some register lock registers are not locked by register locks,Register-lock memory is itself writable through the reglk_wrapper map with partial/self-referential guards.,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,reglk_wrapper; riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-076.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-076.md
H21-077,hackatdac21,h21_access_reglock_reset_expansion_scope,Some access control registers are not locked by register locks,"Access-control registers are guarded by selected reglk_ctrl bits, leaving coverage dependent on the lock mapping and reset defaults.",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-077.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-077.md
H21-078,hackatdac21,h21_dma_pkt_scope,Some PKT registers are not locked by register locks,PKT protected registers 缺少 lock mediation,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,pkt_wrapper; riscv_peripherals,"reglk_ctrl_i, acct_ctrl_i, fuse_req_o, fuse_addr_o, fuse_rdata_i; fuse_req_o, fuse_addr_o; fuse_req_o, fuse_addr_o, pkey_loc, fuse_rdata_i, reglk_ctrl_i; i_pkt_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports that some PKT fuse-control registers are not register-lock protected. - Cites direct writes to `fuse_req_o` and `fuse_addr_o`. - Explains inconsistency with lock-protected PKT read paths.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-078.md; evidence_gt_ref=H21-078.,datasets/benchmarks/hackatdac21/cases/H21-078.md
H21-079,hackatdac21,h21_crypto_security_scope,Some SHA registers are not locked by register locks,SHA protected registers 缺少 lock mediation,piton/design/chip/tile/ariane/src/sha256/sha256_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,sha256_wrapper; riscv_peripherals,"data[0], data[15], reglk_ctrl_i[3]; data[0], data[15], reglk_ctrl_i[2]; i_sha256_wrapper, reglk_ctrl_i, acct_ctrl_i",- Reports inconsistent register-lock mediation for SHA data registers. - Cites write guard `reglk_ctrl_i[3]` and read guard `reglk_ctrl_i[2]`. - Explains how this can leave SHA protected registers insufficiently locked.; Converted from legacy Hack@DAC21 evidence format; code excerpts were not recorded in the legacy evidence and should be inspected at referenced source lines.; Case doc: cases/H21-079.md; evidence_gt_ref=H21-079.,datasets/benchmarks/hackatdac21/cases/H21-079.md
